item_id,order_id,product_id,quantity,unit_price,discount_percent
96,415,409,1,1556.99,71
97,386,7,4,926.37,37
98,123,332,-1,4063.86,20
99,361,236,5,292.82,58
100,238,396,2,2521.36,47
101,321,238,1,563.59,88
102,171,272,1,4554.39,89
103,485,314,5,1361.81,87
104,42,318,3,470.65,86
105,187,455,1,2288.71,79
106,21,188,3,3418.92,8
107,288,364,2,2109.34,69
108,59,333,4,4550.82,89
109,108,386,2,5402.91,64
110,349,217,3,2330.96,57
111,249,257,5,2900.46,68
112,348,423,5,2794.07,47
113,410,345,1,5321.28,11
114,42,201,2,5746.27,13
115,85,142,1,3053.52,26
116,267,488,1,5822.01,69
117,478,68,4,2746.58,82
118,11,150,2,5249.99,29
119,428,486,5,2558.4,43
120,336,331,3,4045.25,67
121,432,281,4,3468.42,39
122,88,405,3,2325.63,36
123,395,433,1,1813.63,21
124,317,474,2,1818.69,22
125,430,363,2,833.97,40
126,295,65,4,1229.31,71
127,363,18,3,1015.47,57
128,277,500,2,860.72,3
129,208,477,4,5694.57,40
130,80,3,5,2087.99,90
131,152,243,3,4561.85,73
132,342,76,5,5545.41,43
133,353,58,4,965.63,70
134,60,158,1,5069.13,57
135,183,48,3,3901.68,74
136,270,114,3,639.0,57
137,347,344,1,2457.38,62
138,163,309,5,477.88,85
139,185,204,2,2651.7,49
140,191,7,3,1952.3,57
141,448,288,1,5343.66,94
142,213,412,4,4863.19,54
143,374,459,4,3585.0,11
144,74,107,3,5225.03,42
145,34,478,5,667.42,52
146,328,469,3,3401.51,90
147,291,387,2,5018.86,37
148,284,252,1,1916.66,74
149,156,253,5,1463.44,0
150,79,135,3,5030.32,60
151,64,335,3,3027.54,88
152,331,126,1,1771.72,8
153,307,382,3,3458.61,33
154,322,352,4,4936.94,47
155,263,376,-5,1668.29,74
156,30,75,3,4205.71,45
157,84,28,3,3872.05,45
158,25,149,3,5627.45,65
159,100,393,2,3652.76,21
160,279,166,3,4157.06,38
161,139,351,3,3543.27,18
162,7,71,5,4706.03,52
163,175,472,2,1054.15,28
164,426,97,5,5013.78,67
165,434,273,5,4845.09,53
166,236,470,1,917.71,2
167,246,179,3,963.23,56
168,456,306,5,2150.96,90
169,156,15,1,5162.37,18
170,353,117,3,911.78,10
171,218,354,1,4681.95,96
172,221,22,2,4789.37,65
173,304,31,4,1630.12,8
174,155,342,1,4726.87,77
175,106,301,2,2206.47,11
176,75,434,3,2184.84,20
177,438,257,5,3485.88,12
178,420,297,1,4337.5,36
179,88,462,-5,4393.29,27
180,472,259,4,3597.88,56
181,345,491,1,2225.71,48
182,218,110,5,810.15,40
183,64,239,1,3050.52,46
184,361,148,5,631.15,63
185,60,198,3,4456.62,87
186,500,431,4,2532.6,54
187,97,439,1,4844.25,86
188,189,92,1,3026.14,13
189,203,225,5,647.28,18
190,203,206,5,4487.38,21
191,34,187,2,3630.52,51
192,63,120,4,1779.33,91
193,393,298,5,4768.53,82
194,483,205,3,3678.52,51
195,249,262,3,2809.61,15
196,129,251,4,5663.06,3
197,51,378,1,3064.09,3
198,498,92,4,2062.69,38
199,319,320,1,4017.32,66
200,393,253,4,4023.25,62
201,259,134,5,5179.08,69
202,10,488,1,5298.74,15
203,197,231,3,2738.95,4
204,17,91,5,4709.39,90
205,85,252,4,4336.98,62
206,392,57,5,4011.46,87
207,277,293,4,5147.96,64
208,29,201,3,5829.59,78
209,347,181,3,314.66,5
210,66,429,3,4491.03,3
211,392,457,3,2654.67,45
212,211,180,1,1598.54,82
213,160,304,1,533.18,39
214,59,173,-2,2057.78,58
215,337,443,4,5423.25,34
216,11,357,4,5916.72,48
217,293,200,3,4878.71,12
218,354,346,2,3091.2,97
219,342,174,2,2275.51,55
220,104,255,1,3284.63,36
221,136,25,3,2501.86,28
222,320,381,1,3532.43,75
223,173,140,1,3256.72,54
224,108,178,1,1915.81,38
225,222,340,5,2573.74,32
226,320,264,4,3353.24,2
227,322,361,5,3524.53,27
228,339,493,4,3881.87,78
229,437,394,4,4400.7,7
230,268,103,3,1556.19,95
231,351,392,3,2550.02,8
232,325,105,4,1829.21,20
233,132,352,5,1545.13,19
234,99,15,2,1966.66,62
235,287,224,4,366.47,20
236,140,70,1,4850.7,84
237,282,91,1,2992.18,2
238,29,441,1,1893.18,8
239,462,490,4,4079.28,11
240,204,483,2,3490.19,64
241,478,62,5,3545.46,99
242,477,269,3,677.96,76
243,63,396,3,3568.31,49
244,413,384,2,1425.35,13
245,90,110,3,1637.69,75
246,29,252,5,5699.96,40
247,280,217,4,5785.39,100
248,480,75,3,2301.27,39
249,11,331,5,4475.78,6
250,354,470,2,2400.44,81
251,491,359,3,4158.7,68
252,444,122,4,5472.27,50
253,475,470,3,5627.49,96
254,121,153,2,1087.33,56
255,324,163,4,1753.11,10
256,422,400,4,2565.82,42
257,368,217,1,4236.12,64
258,34,181,4,4908.55,94
259,168,233,1,3902.03,23
260,323,228,-2,1320.44,39
261,161,295,1,1610.18,91
262,497,394,2,4161.66,40
263,232,245,2,4171.68,41
264,410,145,2,2300.46,50
265,449,194,5,5696.44,71
266,332,314,2,5848.65,25
267,135,360,2,3765.32,76
268,134,77,1,1145.22,72
269,61,8,5,5531.94,58
270,424,345,4,4324.35,24
271,485,442,3,3040.88,16
272,221,439,2,5971.96,36
273,373,347,2,2539.87,18
274,15,149,3,2788.21,31
275,190,299,4,2892.96,41
276,499,355,4,4323.02,90
277,217,377,5,707.38,7
278,27,171,2,2222.66,77
279,481,344,5,4887.64,0
280,130,259,5,5868.51,85
281,190,68,5,1199.33,21
282,258,253,3,921.73,40
283,364,272,4,833.53,5
284,66,256,3,5568.49,36
285,463,449,3,4605.15,33
286,265,161,4,1995.93,62
287,392,487,2,5548.69,81
288,409,226,1,469.22,23
289,19,241,3,2882.73,14
290,459,475,4,2235.64,90
291,288,249,4,5098.15,18
292,64,179,1,1812.08,21
293,384,261,3,4029.36,27
294,299,498,1,3489.11,53
295,472,40,2,4109.91,42
296,14,146,1,3603.48,13
297,429,166,-2,2842.36,90
298,338,246,4,1725.51,84
299,3,169,1,5712.74,41
300,486,375,5,5200.18,82
301,145,166,1,3350.86,77
302,196,48,4,1554.47,98
303,444,205,-1,1368.1,49
304,400,207,3,5733.43,19
305,62,153,4,4454.95,39
306,463,351,5,4043.29,47
307,263,103,4,2420.32,34
308,289,308,4,2621.84,47
309,315,96,4,693.74,65
310,175,499,4,3938.52,91
311,80,477,4,3936.27,10
312,149,240,4,4839.04,38
313,77,66,3,3210.09,37
314,292,25,5,413.81,13
315,262,218,4,4016.0,72
316,417,130,3,628.35,64
317,9,59,4,1215.92,50
318,24,43,4,1891.24,75
319,371,233,4,1700.69,23
320,109,95,1,3683.71,86
321,55,223,-5,2460.36,1
322,88,336,4,2519.79,84
323,495,382,5,1921.38,78
324,185,354,4,662.67,17
325,8,98,1,4221.79,24
326,440,14,2,999.15,30
327,224,432,5,1910.37,59
328,76,243,-4,1121.72,19
329,379,360,4,2908.21,57
330,300,125,2,5002.29,50
331,27,171,1,5108.63,55
332,213,435,4,3635.66,70
333,149,19,4,3153.13,92
334,314,479,4,505.12,2
335,217,296,3,1716.92,82
336,214,456,4,3792.78,82
337,178,230,-4,1834.86,24
338,241,177,4,1435.26,87
339,174,472,5,4333.92,59
340,68,453,3,2433.67,53
341,427,482,3,4828.57,20
342,319,107,3,654.22,61
343,67,89,2,3029.29,53
344,483,253,3,3407.46,2
345,184,452,3,1077.84,64
346,17,414,1,816.72,29
347,62,288,2,5962.93,100
348,182,394,1,3408.58,19
349,437,354,5,759.23,6
350,475,485,4,5781.49,96
351,57,500,1,3716.49,13
352,422,288,1,1127.22,15
353,446,106,3,1858.92,56
354,391,260,4,730.87,82
355,187,172,2,1331.06,53
356,394,394,1,4883.5,43
357,147,259,2,2328.75,96
358,213,185,2,4558.02,53
359,404,117,2,2568.45,52
360,460,235,5,2266.38,3
361,227,75,1,3176.49,8
362,44,174,3,4668.38,55
363,32,202,1,3902.57,73
364,30,324,5,2602.94,87
365,359,284,3,1985.12,44
366,5,424,3,3720.85,18
367,359,207,4,5342.34,79
368,404,317,4,5342.9,100
369,333,208,2,643.04,68
370,172,200,2,3313.62,27
371,48,262,5,2143.15,81
372,82,12,1,3308.61,33
373,124,427,3,5923.68,14
374,375,31,3,3118.87,15
375,25,388,1,3498.75,0
376,233,174,2,5935.65,72
377,366,458,5,1517.95,38
378,146,342,5,4328.95,66
379,378,127,1,3556.86,99
380,185,233,1,2640.3,52
381,42,48,1,910.87,27
382,229,40,3,2506.11,71
383,266,399,4,3568.18,81
384,217,226,4,2589.0,20
385,74,259,2,2827.62,90
386,263,442,5,1393.96,60
387,17,383,2,2310.59,15
388,309,437,4,2312.08,37
389,21,268,2,1933.81,47
390,156,151,-4,985.79,100
391,302,216,1,1935.21,36
392,111,94,-4,3353.09,8
393,446,23,4,1961.76,57
394,461,173,4,4362.2,77
395,68,391,2,2846.48,57
396,342,230,2,2052.52,79
397,341,320,4,5416.43,43
398,277,24,4,3928.61,21
399,363,13,5,4663.83,39
400,288,331,1,648.14,79
401,278,296,1,3202.26,96
402,244,258,1,5626.66,23
403,493,10,3,1584.93,90
404,430,455,5,4870.49,77
405,165,206,5,5192.55,2
406,175,224,2,5178.94,40
407,196,132,1,731.1,21
408,147,74,2,674.33,39
409,488,209,2,5772.57,23
410,14,366,1,727.65,18
411,212,458,3,5658.23,15
412,27,104,2,3578.27,63
413,261,386,5,823.23,7
414,163,238,5,2982.4,52
415,325,120,1,5786.33,86
416,52,127,5,884.59,72
417,209,229,1,3077.53,100
418,496,73,3,1133.9,31
419,276,488,4,3397.64,5
420,1,417,4,3781.27,83
421,498,86,1,5542.59,34
422,307,129,4,5078.27,27
423,300,431,5,1094.29,68
424,289,36,3,4235.81,17
425,372,285,3,1383.47,64
426,491,411,3,5680.64,81
427,134,386,4,4024.32,41
428,175,108,4,2071.47,88
429,69,331,1,175.03,1
430,345,89,4,4224.47,62
431,391,202,5,5278.81,83
432,40,276,1,4923.93,56
433,345,64,3,2351.8,76
434,184,199,2,4899.44,1
435,64,237,3,2750.78,28
436,381,11,3,4298.81,24
437,47,418,5,4879.22,28
438,120,253,3,3033.1,90
439,362,311,-2,5907.94,81
440,203,57,3,3039.97,70
441,100,338,5,3677.39,22
442,34,302,2,895.47,72
443,439,117,5,1754.82,86
444,12,497,5,4131.98,58
445,2,481,4,5666.98,6
446,438,481,3,5971.37,35
447,63,349,5,2264.61,97
448,23,453,2,5522.59,68
449,230,162,1,2108.03,73
450,414,13,2,2629.35,9
451,470,128,2,1968.21,80
452,321,50,1,4877.15,75
453,409,321,3,1595.85,60
454,123,491,3,4956.56,66
455,407,122,1,3774.46,97
456,49,321,4,650.38,7
457,470,18,4,5109.0,8
458,401,66,1,2735.22,38
459,313,321,4,4113.75,71
460,27,151,4,3761.22,52
461,120,443,5,3800.45,58
462,197,238,4,3772.5,43
463,334,481,1,2069.93,24
464,56,53,1,545.14,24
465,464,294,2,1649.27,53
466,247,372,5,1572.44,5
467,31,66,3,3151.79,83
468,387,184,3,3315.69,18
469,76,241,3,1852.72,1
470,266,301,2,3116.58,71
471,440,28,4,5862.59,81
472,466,104,1,4056.98,88
473,355,240,5,5134.25,72
474,494,172,5,2072.42,13
475,233,449,1,5531.73,81
476,115,355,2,1396.86,61
477,377,394,3,2349.08,51
478,95,423,1,581.33,3
479,285,59,2,1287.26,74
480,468,392,3,323.66,25
481,146,90,2,4355.19,43
482,434,284,2,275.73,33
483,467,52,1,952.87,83
484,404,454,1,1379.89,58
485,123,190,3,5655.8,79
486,452,223,1,5313.93,16
487,407,98,2,4211.97,40
488,307,220,2,4614.03,75
489,97,438,5,1019.12,31
490,28,323,3,5131.29,74
491,454,251,2,4740.29,84
492,315,34,2,4545.15,82
493,385,261,3,2865.96,41
494,365,192,5,4336.55,63
495,243,138,5,5538.93,74
496,333,19,2,1337.55,30
497,203,112,3,2355.94,20
498,479,432,3,645.84,96
499,44,152,4,1496.54,5
500,239,263,5,2789.23,55
